id,title,category,subcategory,kind,countries,hasRunner,version,description
ctg,FIGO / NICHD CTG (I/II/III),8. Акушерство и гинекология,Беременность,calculator,"Международный (FIGO, ACOG, NICHD)",yes,1.0.0,Интерпретация кардиотокограммы плода.
curb65,CURB-65 / PSI / SMART-COP / A-DROP,6. Анестезиология и ICU,ARDS,score,,yes,1.0.0,Оценка тяжести внебольничной пневмонии.
cystatin,Цистатин C (CKD-EPI cys),1. Клинические калькуляторы,Функция почек,calculator,Международный (KDIGO),yes,1.0.0,Уточнение СКФ - не зависит от мышечной массы.
d-amico,D'Amico / NCCN risk groups,10. Онкология,Специфические,calculator,Международный (AUA / EAU / NCCN),yes,1.0.0,Стратификация риска при раке простаты.
das28,DAS28 / CDAI / SDAI / RAPID3,22. Прочие специальности,Ревматология,calculator,,yes,1.0.0,Оценка активности ревматоидного артрита.
dast,DAST-10/20 / ASSIST (WHO),9. Психиатрия и психология,Зависимости,calculator,Международный,yes,1.0.0,Скрининг употребления психоактивных веществ.
denis,Denis three-column,7. Травматология и военная медицина,Ортопедия,score,Международный,yes,1.0.0,Трёхколонная классификация травм позвоночника.
denver,Denver II / ASQ-3 / Bayley-III/4 / Griffiths / PARS (РФ),3. Педиатрические инструменты,Психомоторное развитие,calculator,США · международный,yes,1.0.0,Скрининг психомоторного развития у детей.
dhi,DHI / Vertigo Symptom Scale,22. Прочие специальности,ЛОР,calculator,Международный (AAO-HNS),yes,1.0.0,Оценка влияния головокружения на жизнь пациента.
diamond-forrester,Diamond-Forrester / CAD Consortium / ESC 2019,4. Кардиология и сосуды,Стенокардия,calculator,ЕС · Международный,yes,1.0.0,Оценка предтестовой вероятности ИБС.
dic,ISTH DIC / JMHW DIC / JAAM DIC,15. Лабораторная медицина,Гематология,calculator,Международный (ISTH 2001),yes,1.0.0,Диагностика синдрома диссеминированного внутрисосудистого свёртывания.
dix-hallpike,Dix-Hallpike / HINTS / HINTS plus,22. Прочие специальности,ЛОР,calculator,Международный (AAO-HNS / Barany),yes,1.0.0,Дифф. диагностика периферического и центрального вертиго.
dka,"DKA fluid/insulin protocols (JBDS, ISPAD, ADA)",1. Клинические калькуляторы,Дозирование,calculator,Великобритания (JBDS) · США (ADA) · Международный (ISPAD),yes,1.0.0,Протоколы инфузии и инсулина при диабетическом кетоацидозе.
dlqi,DLQI / Skindex-16/29,22. Прочие специальности,Дерматология,calculator,Международный,yes,1.0.0,Оценка качества жизни при кожных заболеваниях.
dmft,DMFT / DMFS / dmft / deft (WHO),21. Стоматология,Классификации,calculator,"Международный (WHO Oral Health Surveys, 5th ed. 2013)",yes,1.0.0,Индексы распространённости и интенсивности кариеса.
dn4,DN4 / LANSS / painDETECT,2. Диагностические шкалы,Боль,score,Международный (IASP NeuPSIG),yes,1.0.0,Скрининг нейропатического компонента боли.
doac,DOAC dose adjustment,1. Клинические калькуляторы,Дозирование,calculator,Международный (EHRA / ESC) · США (FDA) · ЕС (EMA),yes,1.0.0,"Коррекция дозы прямых оральных антикоагулянтов по CrCl, возрасту, массе."
door-to,Door-to-needle / Door-to-balloon,17. Протоколы экстренной помощи,Госпитальные pathways,calculator,"США (AHA/ACC), ЕС, международно",yes,1.0.0,Временные стандарты оказания помощи при ИМ и инсульте.
downes,Downes score,3. Педиатрические инструменты,Новорождённые,score,Международный,yes,1.0.0,Альтернативная оценка дыхательной недостаточности у новорождённых.
dragon,DRAGON / MRS-DRAGON / THRIVE / iScore / SPAN-100,5. Неврология и нейрохирургия,Инсульт,score,Международный (Helsinki Stroke),yes,1.0.0,Прогноз исходов после тромболизиса.
drip-rate,Drip rate (gtt/min),1. Клинические калькуляторы,Дозирование,calculator,Международный,yes,1.0.0,Расчёт скорости в каплях в минуту для капельной инфузии.
drs,Disability Rating Scale (DRS),5. Неврология и нейрохирургия,ЧМТ,score,,yes,1.0.0,Оценка инвалидизации после тяжёлой ЧМТ.
dsm-icd,DSM-5-TR / МКБ-10 F / МКБ-11 / РБК,9. Психиатрия и психология,Общий скрининг,calculator,США (APA DSM) / Международный (WHO ICD),yes,1.0.0,Основные международные классификации психических расстройств.
dsm5tr,DSM-5-TR (APA),16. Справочники и классификаторы,Диагнозы,calculator,США (APA) · международно в исследованиях,yes,1.0.0,Диагностическое и статистическое руководство по психическим расстройствам.
dubowitz,Dubowitz,3. Педиатрические инструменты,Новорождённые,score,Международный (исторический),yes,1.0.0,Классическая шкала оценки гестационного возраста.
duke-treadmill,Duke Treadmill Score,4. Кардиология и сосуды,Стенокардия,calculator,США · международный,yes,1.0.0,Прогноз по результатам нагрузочной пробы.
duke,Modified Duke Criteria (2023 ISCVID),4. Кардиология и сосуды,Эндокардит / Клапаны,score,Международный (ISCVID · ESC 2023 · AHA),yes,1.0.0,Диагностика инфекционного эндокардита.
eat26,EAT-26 / SCOFF / EDE-Q / ChEAT / ANSOCQ,9. Психиатрия и психология,Пищевое поведение,calculator,Международный,yes,1.0.0,Скрининг расстройств пищевого поведения.
eceb,Essential Care for Every Baby (ECEB) / ECSB,17. Протоколы экстренной помощи,Реанимация,calculator,AAP / ВОЗ / USAID - global low-resource settings,yes,1.0.0,Пакеты ВОЗ по базовой помощи новорождённым.
ecog-kps,ECOG PS / KPS / Lansky,10. Онкология,Общий статус,calculator,Международный (ECOG / Karnofsky),yes,1.0.0,Оценка общего функционального статуса онкологического больного.
ecog,ECOG / WHO / Zubrod (0-5),2. Диагностические шкалы,Функциональный статус,score,Международный (ECOG/WHO),yes,1.0.0,Упрощённая оценка функционального статуса в онкологии.
edacs,EDACS-ADP,4. Кардиология и сосуды,ОКС / ИМ,score,Австралия · Н.Зеландия · международная,yes,1.0.0,Ускоренный протокол оценки боли в груди (австралийский).
edmonton-frail,Edmonton Frail / FRAIL / Fried / PRISMA-7 / Tilburg,2. Диагностические шкалы,Функциональный статус,score,Канада · Международный,yes,1.0.0,Комплексная оценка синдрома хрупкости у пожилых.
edss,EDSS Kurtzke (0-10),5. Неврология и нейрохирургия,Рассеянный склероз,calculator,,yes,1.0.0,Оценка инвалидизации при рассеянном склерозе.
ehra,EHRA symptom class (I-IV),4. Кардиология и сосуды,Фибрилляция предсердий,score,Международный (ESC / EHRA),yes,1.0.0,Классификация выраженности симптомов фибрилляции предсердий.
ems-assess,OPQRST / SAMPLE / DCAP-BTLS / AVPU,17. Протоколы экстренной помощи,Догоспитальная травма,calculator,"NAEMT / NREMT (США), стандарт EMS обучения международно",yes,1.0.0,Стандартные алгоритмы оценки пациента догоспитально.
engel,Engel / ILAE outcome,5. Неврология и нейрохирургия,Эпилепсия,score,,yes,1.0.0,Оценка исходов эпилептической хирургии.
enneking,Enneking,10. Онкология,Стадирование,calculator,Международный (MSTS / Enneking),yes,1.0.0,Стадирование сарком мягких тканей и костей.
epals,EPALS / APLS / EPLS / EHAC,17. Протоколы экстренной помощи,Реанимация,calculator,"Европа (ERC), Великобритания (APLS), международно",yes,1.0.0,Европейские педиатрические протоколы реанимации.
epds,EPDS,8. Акушерство и гинекология,Депрессия,score,,yes,1.0.0,Скрининг послеродовой депрессии.
epi-who,EPI WHO / STIKO (Германия) / HAS (Франция),3. Педиатрические инструменты,Иммунизация,calculator,Международный · Германия · Франция,yes,1.0.0,Международные и национальные схемы вакцинации.
epworth,Epworth Sleepiness Scale (ESS),5. Неврология и нейрохирургия,Сон,score,Международный,yes,1.0.0,Скрининг дневной сонливости.
erc,ERC Guidelines,17. Протоколы экстренной помощи,Реанимация,calculator,Европа (ERC member councils),yes,1.0.0,"Европейские протоколы реанимации ALS, BLS, PLS."
esc-eu,ESC / ESMO / ESICM / ESA / ESPEN / ESGE / EAU / ERS / ESO,19. Региональные стандарты,Европа,calculator,ЕС / Европа (референс для всех стран Европейского кардиологического общества),yes,1.0.0,Рекомендации европейских медицинских обществ по специальностям.
esc-nste,ESC 0/1-h и 0/2-h hs-cTn,4. Кардиология и сосуды,ОКС / ИМ,calculator,ЕС · международный,yes,1.0.0,Ускоренный алгоритм исключения ИМ по тропонину.
esc-pe,ESC PE 2019/2024,4. Кардиология и сосуды,ТЭЛА,calculator,ЕС · международный,yes,1.0.0,Стратификация риска и выбор тактики при ТЭЛА.
esi,ESI v.5 (Emergency Severity Index),2. Диагностические шкалы,Триаж,score,США,yes,1.0.0,Сортировка пациентов в отделении неотложной помощи (стандарт США).
etc,ETC (European Trauma Course),17. Протоколы экстренной помощи,Догоспитальная травма,calculator,"ERC / ESTES (Европа, ≥ 30 стран)",yes,1.0.0,Европейский курс по ведению травмы.
etdrs-dr,ETDRS DR / ICO International DR/DME,22. Прочие специальности,Офтальмология,calculator,Международный (AAO / ETDRS),yes,1.0.0,Классификация диабетической ретинопатии и макулярного отёка.
etg,eTG Australia / AMH / RACGP / ANZICS,19. Региональные стандарты,Австралия / ЮВА,calculator,"Австралия (также Новая Зеландия — частично; референс в Фиджи, PNG, Pacific)",yes,1.0.0,Австралийские и новозеландские клинические рекомендации.
euroscore,EuroSCORE II / STS Risk Score,4. Кардиология и сосуды,Эндокардит / Клапаны,calculator,ЕС · международный,yes,1.0.0,Оценка риска смерти при кардиохирургических операциях.
evans,Evans index,5. Неврология и нейрохирургия,Нейрохирургия,calculator,Международный,yes,1.0.0,КТ-индекс для диагностики гидроцефалии.
evidencepoint,EvidencePoint / Omni Calculator Medical,18. Учебные инструменты,Калькуляторы,calculator,США / Международный,yes,1.0.0,Альтернативные веб-калькуляторы для клинической практики.
faced,FACED / BSI,13. Пульмонология,Бронхоэктазы,calculator,Международный (ERS),yes,1.0.0,Оценка тяжести и прогноза при бронхоэктатической болезни.
fagerstrom,Fagerström (FTND/FTCD),9. Психиатрия и психология,Зависимости,score,,yes,1.0.0,Оценка степени никотиновой зависимости.
far-ru,Клинические рекомендации ФАР по СЛР,17. Протоколы экстренной помощи,Реанимация,calculator,Россия (ФАР),yes,1.0.0,Российские рекомендации по сердечно-лёгочной реанимации.
fast-us,FAST / eFAST,7. Травматология и военная медицина,Абдоминальная травма,calculator,Международный (ATLS),yes,1.0.0,Ультразвуковой протокол оценки травмы.
fast,FAST / BE-FAST / CPSS / LAPSS / RACE / LAMS / VAN,5. Неврология и нейрохирургия,Инсульт,score,"Международный (AHA/ASA, ESO)",yes,1.0.0,Догоспитальный скрининг инсульта.
fdi-dent,FDI / Universal Numbering (ADA) / Palmer,21. Стоматология,Классификации,calculator,Международный (FDI World Dental Federation) · ISO 3950,yes,1.0.0,Системы нумерации и обозначения зубов.
fdi,FDI / Universal Numbering (ADA) / Palmer,16. Справочники и классификаторы,Стоматология,calculator,Международный (FDI World Dental Federation) · ISO 3950,yes,1.0.0,Системы нумерации зубов.
febrile-neutro,MASCC / CISNE,10. Онкология,Профилактика,calculator,"Международный (IDSA 2010, ESMO 2016, NCCN 2024)",yes,1.0.0,Оценка риска осложнений при фебрильной нейтропении.
fena,FENa / FEUrea,1. Клинические калькуляторы,Функция почек,calculator,,yes,1.0.0,Дифф. диагностика преренальной и ренальной ОПП.
ferriman,Ferriman-Gallwey,22. Прочие специальности,Эндокринология,calculator,Международный,yes,1.0.0,Оценка выраженности гирсутизма у женщин.
feverpain,FeverPAIN,11. Инфекционные болезни,Бактериальные,score,Великобритания (NICE),yes,1.0.0,Британская шкала оценки фарингита и показаний к антибиотикам.
fib4-lab,FIB-4 / APRI,15. Лабораторная медицина,Печень,calculator,Международный (AASLD / EASL),yes,1.0.0,Неинвазивная оценка фиброза печени по лабораторным данным.
fib4,FIB-4 / APRI / NAFLD FS / FibroTest / FibroScan,7. Травматология и военная медицина,Неотложная хирургия,calculator,"Международный (AASLD 2023, EASL 2021, WHO)",yes,1.0.0,Неинвазивная оценка фиброза печени.
fibrotest,FibroTest / FibroSure / ELF test / FibroScan,15. Лабораторная медицина,Печень,calculator,"Международный (лицензирован BioPredictive, Франция)",yes,1.0.0,Неинвазивная оценка стеатоза и фиброза печени.
figo-onco,FIGO,10. Онкология,Стадирование,calculator,Международный (WHO / FIGO),yes,1.0.0,Стадирование гинекологических злокачественных опухолей.
figo-staging,FIGO 2018 staging,8. Акушерство и гинекология,Гинекология,calculator,Международный (FIGO),yes,1.0.0,Стадирование онкогинекологических заболеваний.
fim-rehab,FIM / Barthel / mRS / GOS-E,22. Прочие специальности,Реабилитация,calculator,Международный,yes,1.0.0,Оценка функциональной независимости и исходов реабилитации.
finnegan,Finnegan NAS/FNAS,3. Педиатрические инструменты,Новорождённые,score,Международный,yes,1.0.0,Оценка синдрома неонатальной абстиненции.
fitzpatrick,Fitzpatrick Skin Type (I-VI),22. Прочие специальности,Дерматология,calculator,Международный (AAD / Fitzpatrick),yes,1.0.0,Классификация фототипов кожи по реакции на УФ-излучение.
flacc,FLACC (2 мес-7 лет),2. Диагностические шкалы,Боль,score,Международный,yes,1.0.0,Поведенческая оценка боли у невербальных детей.
fms-wpi,ACR Fibromyalgia / FMS WPI + SS,22. Прочие специальности,Ревматология,calculator,Международный (ACR 2016),yes,1.0.0,Диагностические критерии и оценка тяжести фибромиалгии.
formular-ru,Формулярный комитет РАН / РЛС / Видаль РФ / Машковский,19. Региональные стандарты,Россия,calculator,Российская Федерация,yes,1.0.0,Российские формулярные справочники лекарственных средств.
forrest,Forrest classification,7. Травматология и военная медицина,Неотложная хирургия,calculator,,yes,1.0.0,Эндоскопическая классификация язвенного кровотечения.
forrester,Forrester / Nohria-Stevenson,4. Кардиология и сосуды,Сердечная недостаточность,calculator,,yes,1.0.0,Гемодинамические профили для выбора терапии ХСН.
foto,FOTO outcomes / PROMIS CATs,22. Прочие специальности,Реабилитация,calculator,США (FOTO Inc.),yes,1.0.0,Адаптивные компьютеризированные измерения исходов.
four,FOUR Score (0-16),5. Неврология и нейрохирургия,Сознание,score,Международный (Mayo Clinic / AAN),yes,1.0.0,Оценка сознания у интубированных пациентов (альтернатива GCS).
fps-r,FPS-R (Faces Pain Scale Revised),2. Диагностические шкалы,Боль,score,Международный (IASP),yes,1.0.0,Оценка боли у детей 4-12 лет по лицам.
framingham-hf,Framingham HF criteria (Boston),4. Кардиология и сосуды,Сердечная недостаточность,score,Международный,yes,1.0.0,Клинические критерии диагностики ХСН.
framingham,Framingham Risk Score (FRS),4. Кардиология и сосуды,ССС-риск,calculator,США · Международный,yes,1.0.0,Оценка 10-летнего риска ИБС (историческая шкала США).
frankl,Frankl / Venham's / Cuthbert-Melamed,21. Стоматология,Детская стоматология,calculator,Международный,yes,1.0.0,Оценка поведения ребёнка на стоматологическом приёме.
frax-e,FRAX,22. Прочие специальности,Эндокринология,calculator,Международный (WHO/FRAX),yes,1.0.0,Оценка 10-летнего риска остеопоротических переломов.
frax-men,FRAX,8. Акушерство и гинекология,Менопауза,calculator,"Международный (FRAX, NOF, AACE)",yes,1.0.0,Оценка 10-летнего риска остеопоротических переломов.
frenchay,Frenchay Dysarthria / BDAE / WAB-R / AAT / MTDDA,22. Прочие специальности,Аудиология / Речь,calculator,Международный (UK / US),yes,1.0.0,Оценка дизартрии и афазии.
friedewald,Friedewald LDL,15. Лабораторная медицина,Липиды,calculator,,yes,1.0.0,Расчёт ЛПНП по липидному профилю.
friedman,Friedman staging,22. Прочие специальности,ЛОР,calculator,Международный (AAO-HNS),yes,1.0.0,Прогноз эффективности хирургического лечения СОАС.
frykman,Frykman,7. Травматология и военная медицина,Ортопедия,score,Международный (исторический),yes,1.0.0,Классификация переломов дистального отдела лучевой кости.
fst,Furosemide stress test (FST),6. Анестезиология и ICU,AKI,calculator,Международный,yes,1.0.0,Функциональный тест для прогноза прогрессии ОПП.
gad7,GAD-7,9. Психиатрия и психология,Тревога,score,,yes,1.0.0,Скрининг генерализованного тревожного расстройства.
gail,Gail / Tyrer-Cuzick (IBIS) / BOADICEA / CanRisk,10. Онкология,Скрининг рисков,calculator,"Международный (NCI, USPSTF, NCCN)",yes,1.0.0,Оценка индивидуального риска рака молочной железы.
gap-ild,GAP index / ILD-GAP,13. Пульмонология,ИЛФ / ILD,calculator,Международный (ATS/ERS/JRS/ALAT),yes,1.0.0,Прогноз выживаемости при идиопатическом лёгочном фиброзе.
garden,Garden (I-IV) / Pauwels,7. Травматология и военная медицина,Ортопедия,score,Международный,yes,1.0.0,Классификация переломов шейки бедренной кости.
gbs,Glasgow-Blatchford score,7. Травматология и военная медицина,Неотложная хирургия,score,,yes,1.0.0,Оценка риска и необходимости эндоскопии при UGIB.
gcs,Glasgow Coma Scale (GCS) + педиатрическая,5. Неврология и нейрохирургия,Сознание,score,Международный,yes,1.0.0,"Оценка уровня сознания при ЧМТ, инсульте, коме."
gds,EPDS / GDS (гериатрия) / CDI (дети) / Kutcher,9. Психиатрия и психология,Депрессия,score,Международный · рекомендовано у ≥65 лет,yes,1.0.0,Специализированные шкалы депрессии по возрастным группам.
gell-coombs,Gell-Coombs / EAACI / Ring-Messmer / WAO,22. Прочие специальности,Аллергология,calculator,Международный,yes,1.0.0,Классификация типов реакций гиперчувствительности.
geneva,Geneva revised / simplified,2. Диагностические шкалы,ВТЭ / Кровотечение,score,Международный (ESC 2019),yes,1.0.0,Альтернативная шкала вероятности ТЭЛА.
geotar,Национальные руководства «ГЭОТАР-Медиа»,19. Региональные стандарты,Россия,calculator,Российская Федерация,yes,1.0.0,Российские национальные руководства по специальностям.
gina,GINA 2024 control / ACT / ACQ-7 / PAQLQ,13. Пульмонология,Астма,calculator,Международный (GINA),yes,1.0.0,Оценка контроля бронхиальной астмы.
gingival,Gingival Index / Plaque Index / OHI-S,21. Стоматология,Периодонтология,calculator,"Международный (Loe & Silness, 1963)",yes,1.0.0,Индексы гигиены полости рта и воспаления дёсен.
gleason,Gleason / ISUP Grade,10. Онкология,Специфические,calculator,Международный (ISUP 2014 / WHO 2016),yes,1.0.0,Гистологическая классификация рака простаты.
gli,FEV₁/FVC / GLI reference,13. Пульмонология,ХОБЛ,calculator,Международный (ATS/ERS),yes,1.0.0,"Интерпретация спирометрии с учётом возраста, пола и роста."
glim,GLIM criteria (2019),2. Диагностические шкалы,Питание,score,Международный (ESPEN · ASPEN · FELANPE · PENSA),yes,1.0.0,Международные критерии диагностики недоедания.
gmsps,Glasgow Meningococcal Septicaemia (GMSPS),11. Инфекционные болезни,Менингит,calculator,Великобритания / Международный,yes,1.0.0,Оценка тяжести менингококкового сепсиса.
gold,GOLD 2024 ABE / ABCD,13. Пульмонология,ХОБЛ,calculator,,yes,1.0.0,Классификация групп риска и выбор терапии ХОБЛ.
grace,GRACE 2.0,4. Кардиология и сосуды,ОКС / ИМ,calculator,"Международный (ESC, AHA)",yes,1.0.0,Оценка госпитальной и 6-месячной смертности при ОКС.
grbas,GRBAS / CAPE-V,22. Прочие специальности,Аудиология / Речь,calculator,Международный (ELS / JSLP),yes,1.0.0,Перцептивная оценка качества голоса.
greene,Greene / Kupperman / MRS,8. Акушерство и гинекология,Менопауза,calculator,Международный,yes,1.0.0,Оценка выраженности климактерических симптомов.
gustilo,Gustilo-Anderson (I-IIIC),7. Травматология и военная медицина,Ортопедия,score,Международный,yes,1.0.0,Классификация открытых переломов.
gwtg,Get With The Guidelines (AHA),17. Протоколы экстренной помощи,Госпитальные pathways,calculator,"США (AHA), применяется в 2600+ госпиталях",yes,1.0.0,"Госпитальные протоколы AHA по инсульту, ХСН, реанимации."
h2fpef,H2FPEF / HFA-PEFF,4. Кардиология и сосуды,Сердечная недостаточность,score,Международный,yes,1.0.0,Диагностика ХСН с сохранённой фракцией выброса.
hachinski,Hachinski Ischemic Score,5. Неврология и нейрохирургия,Деменция,score,,yes,1.0.0,Дифференциация сосудистой деменции и болезни Альцгеймера.
hacor,HACOR,6. Анестезиология и ICU,ARDS,score,Международный,yes,1.0.0,Прогноз неудачи неинвазивной вентиляции лёгких.
ham-a,HAM-A / BAI / STAI / PSWQ,9. Психиатрия и психология,Тревога,calculator,Международный,yes,1.0.0,Клинические шкалы тревожных расстройств.
ham-d,HAM-D / MADRS / QIDS / Zung / CES-D,9. Психиатрия и психология,Депрессия,calculator,Международный,yes,1.0.0,Клинические шкалы тяжести депрессии.
harriet-lane,Frank Shann / Harriet Lane / Nelson Pediatric Antimicrobial,14. Фармакология и лекарства,Детские дозы,calculator,США (Johns Hopkins) · международный стандарт педиатрии,yes,1.0.0,Справочники детских дозировок препаратов.
harris-hip,Harris Hip / Oxford Hip/Knee,7. Травматология и военная медицина,Суставы / Хрящ,calculator,Международный (Oxford - UK NJR стандарт),yes,1.0.0,Оценка функции тазобедренного и коленного суставов.
has-bled,HAS-BLED / ORBIT / ATRIA / HEMORR2HAGES,2. Диагностические шкалы,ВТЭ / Кровотечение,score,,yes,1.0.0,Оценка риска большого кровотечения на антикоагулянтах при ФП.
has-fr,HAS / Vidal,19. Региональные стандарты,Европа,calculator,"France (also followed in Belgium, Luxembourg, Monaco; reference for Francophone Africa)",yes,1.0.0,Французские клинические рекомендации и лекарственный справочник.
hawkins,Hawkins,7. Травматология и военная медицина,Ортопедия,score,Международный,yes,1.0.0,Классификация переломов таранной кости.
hba1c,HbA1c ↔ eAG,15. Лабораторная медицина,Эндокринология,calculator,,yes,1.0.0,Перевод HbA1c в среднюю глюкозу за 2-3 месяца.
hbb,Helping Babies Breathe / Helping Babies Survive,17. Протоколы экстренной помощи,Реанимация,calculator,АAP / ВОЗ / USAID - low-resource settings глобально,yes,1.0.0,Программа реанимации новорождённых для стран с ограниченными ресурсами.
hcr20,HCR-20 V3 / VRAG / START / Brøset,9. Психиатрия и психология,Риск насилия,calculator,Международный (судебная психиатрия),yes,1.0.0,Оценка риска насильственного поведения.
head-growth,Рост головы / МПК / Z-score / BMI-for-age,3. Педиатрические инструменты,Рост и развитие,calculator,Международный (ВОЗ),yes,1.0.0,Антропометрические нормы у детей и подростков.
heart,HEART score / HEART Pathway,4. Кардиология и сосуды,ОКС / ИМ,score,,yes,1.0.0,Триаж пациентов с болью в груди в отделении неотложной помощи.
hellp,HELLP Mississippi / Tennessee,8. Акушерство и гинекология,Преэклампсия,calculator,Международный,yes,1.0.0,Классификация тяжести HELLP-синдрома.
henderson-lab,Henderson-Hasselbalch / Winter / Albert / delta-delta,15. Лабораторная медицина,Газы крови,calculator,Международный,yes,1.0.0,Анализ кислотно-щелочного состояния.
henderson,Henderson-Hasselbalch / Stewart,1. Клинические калькуляторы,Электролиты / КЩС,calculator,Международный,yes,1.0.0,Анализ кислотно-щелочного состояния.
hics,HICS / HEICS / NATO CIMIC / NHS major incident / МЧС «Защита»,17. Протоколы экстренной помощи,Массовые потери,calculator,"США (CalEMSA + FEMA), адаптирован в ЕС, РФ, Азии",yes,1.0.0,Системы управления при массовых потерях и ЧС.
hinchey,Hinchey (I-IV),7. Травматология и военная медицина,Неотложная хирургия,calculator,,yes,1.0.0,Классификация острого дивертикулита и выбор тактики.
hit-lab,4T / HEP score,15. Лабораторная медицина,Гематология,calculator,Международный (ASH 2018),yes,1.0.0,Оценка вероятности гепарин-индуцированной тромбоцитопении.
hiv-who,WHO clinical staging / CDC A/B/C + CD4,11. Инфекционные болезни,ВИЧ,calculator,Международный (WHO),yes,1.0.0,Клиническое и иммунологическое стадирование ВИЧ-инфекции.
hodapp,Hodapp-Parrish-Anderson / GSS2,22. Прочие специальности,Офтальмология,calculator,Международный (AAO),yes,1.0.0,Классификация тяжести глаукомного поражения полей зрения.
hoehn,Hoehn and Yahr (1-5),5. Неврология и нейрохирургия,Паркинсон,calculator,,yes,1.0.0,Стадирование болезни Паркинсона.
holliday-segar,Holliday-Segar (4-2-1 rule),1. Клинические калькуляторы,Дозирование,calculator,,yes,1.0.0,Поддерживающая инфузия у детей и взрослых по массе тела.
homa-ir,HOMA-IR / QUICKI / Matsuda / HOMA-β,15. Лабораторная медицина,Эндокринология,calculator,,yes,1.0.0,Оценка инсулинорезистентности и функции β-клеток.
house-brackmann,House-Brackmann (I-VI) / Sunnybrook,5. Неврология и нейрохирургия,Нейропатическая боль,score,Международный,yes,1.0.0,Оценка тяжести пареза лицевого нерва.
hs-ctn,hs-cTn cutoffs,15. Лабораторная медицина,Сердечные маркеры,calculator,Международный (ESC · ACC),yes,1.0.0,Пороговые значения высокочувствительного тропонина.
htn-tod,"Поражение органов-мишеней (LVH, UACR)",4. Кардиология и сосуды,Гипертензия,score,Международный (ESC/ESH · ACC/AHA · РКО),yes,1.0.0,Выявление поражения органов-мишеней при гипертензии.
hughes-gbs,Hughes GBS (0-6) / EGOS / mEGOS,5. Неврология и нейрохирургия,Миастения / ALS / GBS,score,Международный,yes,1.0.0,Оценка тяжести и прогноза синдрома Гийена-Барре.
hunt-hess,Hunt-Hess / Fisher / modified Fisher / PAASH,5. Неврология и нейрохирургия,Инсульт,score,,yes,1.0.0,Тяжесть и прогноз субарахноидального кровоизлияния.
hurley,Hurley / IHS4 / HiSCR,22. Прочие специальности,Дерматология,calculator,Международный (AAD / EHSF),yes,1.0.0,Классификация и оценка гидраденита.
iadpsg,IADPSG / WHO / Carpenter-Coustan / NICE / РОАГ,8. Акушерство и гинекология,Диабет беременных,calculator,"Международный (IADPSG/WHO), США (C-C), UK (NICE), РФ (РОАГ)",yes,1.0.0,Критерии диагностики гестационного сахарного диабета.
iap,IAP growth / Indian National Formulary / NICE ICMR / MCI / NMC,19. Региональные стандарты,Индия,calculator,Индия (также референс в ряде стран Южной Азии),yes,1.0.0,Индийские клинические стандарты и руководства.
ibw-devine,IBW - Devine,1. Клинические калькуляторы,Антропометрия,calculator,,yes,1.0.0,Идеальная масса тела для дозирования анестетиков и нутритивной поддержки.
ibw-robinson,IBW - Robinson / Miller / Hamwi,1. Клинические калькуляторы,Антропометрия,calculator,Международный (США - клиническая практика),yes,1.0.0,Альтернативные формулы идеальной массы тела.
icd-o,ICD-O-3.2 / TNM AJCC / WHO Classification of Tumours,16. Справочники и классификаторы,Онкология,calculator,Международный (WHO/IARC) · онкологические регистры,yes,1.0.0,Онкологические классификаторы и номенклатуры.
icd10-da,ICD-10-DA / SNODENT,16. Справочники и классификаторы,Стоматология,calculator,Международный (WHO) · стоматологические регистры и EHR,yes,1.0.0,Стандартизированные стоматологические классификаторы.
icd10-pcs,ICD-10-PCS / CPT / HCPCS / OPCS-4 / Номенклатура 804н,16. Справочники и классификаторы,Процедуры,calculator,США (CMS) · стационарное кодирование процедур,yes,1.0.0,Классификации и номенклатуры медицинских процедур.
icd10,ICD-10 / МКБ-10 (WHO),16. Справочники и классификаторы,Диагнозы,calculator,Международный (WHO) · официально в РФ до перехода на ICD-11,yes,1.0.0,Международная классификация болезней 10-го пересмотра.
icd10cm,ICD-10-CM,16. Справочники и классификаторы,Диагнозы,calculator,США (CDC/NCHS + CMS),yes,1.0.0,"Клиническая модификация МКБ-10, используемая в США."
icd11,ICD-11 (WHO),16. Справочники и классификаторы,Диагнозы,calculator,Международный (WHO) · в силе с 01.01.2022,yes,1.0.0,Международная классификация болезней 11-го пересмотра.
icf,ICF / ICF-CY (WHO),16. Справочники и классификаторы,Функционирование,calculator,"Международный (WHO) · реабилитация, МСЭ",yes,1.0.0,Международная классификация функционирования и ограничений.
ich,ICH Score / FUNC / MICH,5. Неврология и нейрохирургия,Инсульт,score,,yes,1.0.0,Прогноз при внутримозговом кровоизлиянии.
ichd3,ICHD-3,5. Неврология и нейрохирургия,Головная боль,score,,yes,1.0.0,Международная классификация головных болей.
iciq,ICIQ / MESA / BFLUTS / OABSS,12. Нефрология и урология,Урология,calculator,Международный (ICS),yes,1.0.0,Оценка недержания мочи и гиперактивного мочевого пузыря.
icpc,ICPC-2 / ICPC-3 (WONCA),16. Справочники и классификаторы,Диагнозы,calculator,"Международный (WONCA) · широко в Европе, Австралии, Азии",yes,1.0.0,Международная классификация в первичной медицинской помощи.
